skill,num_postings,pct_postings,num_occurence,pct_occurence
experience,285,0.4136,412,0.0443
data,211,0.30620000000000003,996,0.107
ci,186,0.27,774,0.0832
iv,170,0.2467,587,0.0631
ts,150,0.2177,418,0.0449
bi,130,0.1887,295,0.0317
ba,109,0.1582,321,0.0345
work,108,0.1567,307,0.033
tech,103,0.1495,290,0.0312
sci,98,0.1422,503,0.054
ability,95,0.1379,65,0.007
skill,91,0.1321,187,0.0201
ip,90,0.1306,298,0.032
bu,88,0.1277,303,0.0326
skills,85,0.1234,159,0.0171
year,85,0.1234,119,0.0128
model,84,0.1219,357,0.0384
years,80,0.1161,105,0.0113
os,80,0.1161,362,0.0389
ms,79,0.1147,332,0.0357
statistic,78,0.1132,313,0.0336
learn,76,0.1103,425,0.0457
able,75,0.1089,273,0.0293
chi,75,0.1089,234,0.0251
science,74,0.1074,320,0.0344
ai,74,0.1074,286,0.0307
analytic,73,0.106,239,0.0257
python,66,0.0958,119,0.0128
analysis,66,0.0958,235,0.0252
learning,64,0.0929,331,0.0356
act,63,0.0914,223,0.024
develop,61,0.0885,175,0.0188
strong,58,0.0842,154,0.0165
degree,57,0.0827,54,0.0058
machine,54,0.0784,188,0.0202
edge,53,0.0769,90,0.0097
knowledge,52,0.0755,86,0.0092
sql,52,0.0755,142,0.0153
machine learning,52,0.0755,122,0.0131
tool,49,0.0711,160,0.0172
put,48,0.0697,160,0.0172
analytics,47,0.0682,165,0.0177
excel,46,0.0668,113,0.0121
statistical,45,0.0653,136,0.0146
data science,45,0.0653,124,0.0133
using,43,0.0624,252,0.0271
business,43,0.0624,154,0.0165
manage,43,0.0624,180,0.0193
ols,43,0.0624,149,0.016
problem,42,0.061,125,0.0134
prefer,42,0.061,112,0.012
ph,42,0.061,158,0.017
require,42,0.061,81,0.0087
statistics,41,0.0595,174,0.0187
field,41,0.0595,49,0.0053
models,41,0.0595,124,0.0133
language,41,0.0595,90,0.0097
tools,41,0.0595,133,0.0143
line,41,0.0595,144,0.0155
working,40,0.0581,44,0.0047
techniques,40,0.0581,109,0.0117
process,40,0.0581,154,0.0165
program,39,0.0566,127,0.0136
communication,38,0.0552,57,0.0061
environment,38,0.0552,111,0.0119
advance,38,0.0552,114,0.0122
set,37,0.0537,84,0.009
including,36,0.0522,326,0.035
project,36,0.0522,116,0.0125
aster,36,0.0522,22,0.0024
programming,35,0.0508,118,0.0127
computer,35,0.0508,107,0.0115
master,35,0.0508,20,0.0021
preferred,35,0.0508,83,0.0089
advanced,34,0.0493,103,0.0111
technical,34,0.0493,86,0.0092
end,34,0.0493,87,0.0093
modeling,33,0.0479,139,0.0149
large,33,0.0479,78,0.0084
required,33,0.0479,67,0.0072
excellent,33,0.0479,68,0.0073
table,32,0.0464,130,0.014
computer science,31,0.045,66,0.0071
bachelor,31,0.045,14,0.0015
solution,31,0.045,100,0.0107
search,31,0.045,115,0.0124
ead,31,0.045,102,0.011
rstan,31,0.045,70,0.0075
team,30,0.0435,89,0.0096
understand,30,0.0435,61,0.0066
math,29,0.0421,155,0.0167
research,29,0.0421,105,0.0113
3,29,0.0421,65,0.007
ml,28,0.0406,129,0.0139
development,28,0.0406,96,0.0103
management,28,0.0406,118,0.0127
2,28,0.0406,75,0.0081
stem,28,0.0406,115,0.0124
visualization,27,0.0392,83,0.0089
quantitative,27,0.0392,84,0.009
analytical,27,0.0392,60,0.0064
solutions,27,0.0392,80,0.0086
art,27,0.0392,80,0.0086
communication skills,26,0.0377,22,0.0024
complex,26,0.0377,96,0.0103
system,26,0.0377,112,0.012
inter,26,0.0377,51,0.0055
nn,26,0.0377,117,0.0126
expert,25,0.0363,52,0.0056
deep,25,0.0363,124,0.0133
solving,25,0.0363,61,0.0066
source,25,0.0363,68,0.0073
design,25,0.0363,103,0.0111
5,25,0.0363,47,0.005
build,25,0.0363,84,0.009
perform,25,0.0363,95,0.0102
algorithm,24,0.0348,79,0.0085
5 years,24,0.0348,22,0.0024
database,24,0.0348,76,0.0082
sets,24,0.0348,49,0.0053
demonstrate,24,0.0348,40,0.0043
languages,23,0.0334,33,0.0035
high,23,0.0334,79,0.0085
understanding,23,0.0334,45,0.0048
engineer,23,0.0334,115,0.0124
big,22,0.0319,78,0.0084
problem solving,22,0.0319,33,0.0035
written,22,0.0319,27,0.0029
lead,22,0.0319,61,0.0066
engineering,21,0.0305,92,0.0099
algorithms,21,0.0305,55,0.0059
methods,21,0.0305,67,0.0072
proven,21,0.0305,27,0.0029
demonstrated,21,0.0305,28,0.003
present,21,0.0305,58,0.0062
live,21,0.0305,69,0.0074
ark,21,0.0305,97,0.0104
can,20,0.029,75,0.0081
technologies,20,0.029,52,0.0056
building,20,0.029,75,0.0081
proficiency,20,0.029,16,0.0017
product,20,0.029,85,0.0091
cloud,20,0.029,77,0.0083
1,20,0.029,33,0.0035
relevant,20,0.029,53,0.0057
insights,20,0.029,37,0.004
deliver,20,0.029,68,0.0073
report,20,0.029,37,0.004
tell,20,0.029,74,0.008
insight,20,0.029,39,0.0042
phd,19,0.0276,29,0.0031
processing,19,0.0276,92,0.0099
regression,19,0.0276,147,0.0158
software,19,0.0276,55,0.0059
take,19,0.0276,38,0.0041
plus,19,0.0276,28,0.003
projects,19,0.0276,36,0.0039
effective,19,0.0276,46,0.0049
mathematics,19,0.0276,94,0.0101
works,19,0.0276,139,0.0149
fun,19,0.0276,71,0.0076
net,19,0.0276,130,0.014
tableau,18,0.0261,70,0.0075
big data,18,0.0261,49,0.0053
problems,18,0.0261,54,0.0058
decision,18,0.0261,80,0.0086
test,18,0.0261,87,0.0093
3 years,18,0.0261,22,0.0024
verbal,17,0.0247,29,0.0031
systems,17,0.0247,82,0.0088
familiar,17,0.0247,19,0.002
function,17,0.0247,54,0.0058
holder,17,0.0247,32,0.0034
spark,16,0.0232,62,0.0067
databases,16,0.0232,36,0.0039
deep learning,16,0.0232,60,0.0064
discipline,16,0.0232,20,0.0021
developing,16,0.0232,52,0.0056
processes,16,0.0232,34,0.0037
git,16,0.0232,32,0.0034
concept,16,0.0232,23,0.0025
detail,15,0.0218,31,0.0033
tensorflow,15,0.0218,62,0.0067
experience working,15,0.0218,15,0.0016
effectively,15,0.0218,28,0.003
apply,15,0.0218,29,0.0031
data analysis,15,0.0218,34,0.0037
experience work,15,0.0218,17,0.0018
architect,15,0.0218,31,0.0033
multi,15,0.0218,78,0.0084
rest,15,0.0218,67,0.0072
part,15,0.0218,38,0.0041
level,14,0.0203,41,0.0044
time,14,0.0203,68,0.0073
sas,14,0.0203,45,0.0048
service,14,0.0203,70,0.0075
non,14,0.0203,39,0.0042
results,14,0.0203,23,0.0025
programming language,14,0.0203,13,0.0014
drive,14,0.0203,30,0.0032
